,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSMUSG00000041046,6447.960436,0.873028949,0.152017746,5.742941035,9.30E-09,1.28E-06
ENSMUSG00000027459,959.945665,1.328374916,0.23153638,5.737218984,9.62E-09,1.31E-06
ENSMUSG00000032261,210.3342408,-1.190702815,0.207713961,-5.732415911,9.90E-09,1.33E-06
ENSMUSG00000026749,249.9950669,1.245464545,0.21738071,5.729416121,1.01E-08,1.34E-06
ENSMUSG00000096638,29.99787223,-4.037318091,0.708601427,-5.697586735,1.22E-08,1.60E-06
ENSMUSG00000036402,168.9034323,-1.166456073,0.205135084,-5.686282665,1.30E-08,1.69E-06
ENSMUSG00000027463,222.8525162,1.429224164,0.252942235,5.650397467,1.60E-08,2.06E-06
ENSMUSG00000086825,156.4348952,-2.803082585,0.497644705,-5.632698506,1.77E-08,2.26E-06
ENSMUSG00000040624,46.85838922,2.765559433,0.493037883,5.609222998,2.03E-08,2.56E-06
ENSMUSG00000040828,46.0183587,2.028437906,0.362352922,5.597962048,2.17E-08,2.71E-06
ENSMUSG00000107476,1046.732025,0.791963533,0.144116222,5.4953115,3.90E-08,4.82E-06
ENSMUSG00000063354,603.899617,0.788494003,0.143832679,5.482022629,4.20E-08,5.14E-06
ENSMUSG00000005672,190.1133588,1.511166632,0.277145188,5.452617239,4.96E-08,6.00E-06
ENSMUSG00000020642,122.79559,-1.666185077,0.305738379,-5.449708604,5.05E-08,6.00E-06
ENSMUSG00000081219,132.5615891,-1.755894699,0.322213163,-5.449481581,5.05E-08,6.00E-06
ENSMUSG00000025278,4650.686066,1.26524604,0.232339559,5.445676338,5.16E-08,6.07E-06
ENSMUSG00000026764,330.8879405,1.115767322,0.205465629,5.430432942,5.62E-08,6.55E-06
ENSMUSG00000090266,440.8219477,-0.896729578,0.165245063,-5.426664867,5.74E-08,6.63E-06
ENSMUSG00000096551,19.05454272,5.264706126,0.971079429,5.421498971,5.91E-08,6.76E-06
ENSMUSG00000015619,1637.936295,0.801636342,0.148583262,5.395199499,6.84E-08,7.76E-06
ENSMUSG00000034145,73.56665134,3.428339858,0.635817125,5.392021892,6.97E-08,7.83E-06
ENSMUSG00000000149,829.3517185,0.808323314,0.149964668,5.390091728,7.04E-08,7.84E-06
